"Year","Rider","Rnk.Dauphine","Rnk.Tour","Rnk.TourDeSuisse"
2000,"Zanini Stefano",NA,81,70
2000,"Zarrabeitia Mikel",26,NA,NA
2000,"Zberg Markus",NA,68,51
2000,"Zubeldia Haimar",2,NA,NA
2000,"Zucconi Pietro",NA,NA,75
2000,"Zülle Alex",4,NA,NA
2000,"den Bakker Maarten",NA,49,47
2000,"van Heeswijk Max",NA,103,NA
2000,"van de Wouwer Kurt",11,17,NA
2000,"Štangelj Gorazd",NA,NA,18
2001,"Aebersold Niki",NA,NA,28
2001,"Aerts Mario",NA,27,NA
2001,"Agnolutto Christophe",62,120,NA
2001,"Aldag Rolf",NA,NA,37
2001,"Armstrong Lance",NA,1,1
2001,"Atienza Daniel",NA,30,13
2001,"Auger Guillaume",NA,136,NA
2001,"Auger Ludovic",NA,133,NA
2001,"Axelsson Niklas",39,NA,NA
2001,"Baguet Serge",57,85,NA
2001,"Baldato Fabio",NA,81,NA
2001,"Bartoli Michele",NA,33,49
2001,"Belli Wladimir",NA,24,3
2001,"Belohvošciks Raivis",NA,110,78
2001,"Beloki Joseba",NA,3,NA
2001,"Beltrán Manuel",NA,NA,8
2001,"Bergmann Reto",NA,NA,29
2001,"Bergès Stéphane",NA,135,NA
2001,"Bernard Jérôme",63,106,NA
2001,"Bertogliati Rubens",NA,140,93
2001,"Bessy Frédéric",23,119,NA
2001,"Bettini Paolo",NA,70,38
2001,"Blaudzun Michael",NA,84,NA
2001,"Bolts Udo",NA,51,15
2001,"Boogerd Michael",NA,10,NA
2001,"Botcharov Alexandre",22,17,NA
2001,"Botero Santiago",NA,8,NA
2001,"Bourquenoud Pierre",NA,NA,52
2001,"Bouvard Gilles",NA,53,NA
2001,"Bouyer Franck",NA,74,NA
2001,"Boven Jan",NA,NA,88
2001,"Bramati Davide",NA,142,NA
2001,"Brard Florent",25,100,NA
2001,"Brochard Laurent",24,23,NA
2001,"Brozyna Tomasz",51,21,NA
2001,"Buxhofer Matthias",NA,NA,36
2001,"Bénéteau Walter",33,42,NA
2001,"Calcagni Patrick",NA,NA,90
2001,"Camenzind Oscar",NA,NA,11
2001,"Capelle Christophe",NA,123,NA
2001,"Casper Jimmy",NA,144,NA
2001,"Cassani Enrico",NA,143,NA
2001,"Castresana Ángel",NA,103,NA
2001,"Cattai Stefano",NA,NA,19
2001,"Celestino Mirko",NA,NA,31
2001,"Cerezo Francisco Javier",NA,118,27
2001,"Chanteur Pascal",NA,114,NA
2001,"Chantyr Anton",NA,NA,89
2001,"Chaurreau Íñigo",8,12,NA
2001,"Chavanel Sylvain",NA,65,NA
2001,"Codol Massimo",NA,NA,30
2001,"Cretskens Wilfried",NA,NA,92
2001,"Cuesta Iñigo",NA,63,12
2001,"Cárdenas Félix Rafael",NA,61,NA
2001,"De Waele Fabian",59,NA,NA
2001,"De Wolf Steve",35,NA,NA
2001,"Dekker Erik",NA,91,NA
2001,"Del Olmo Jose Maria",14,NA,NA
2001,"Demarbaix Sebastien",NA,108,NA
2001,"Donati Massimo",NA,NA,18
2001,"Dotti Fausto",NA,NA,60
2001,"Dufaux Laurent",NA,NA,20
2001,"Durand Jacky",58,127,NA
2001,"Ekimov Viatcheslav",NA,82,76
2001,"Elmiger Martin",NA,NA,44
2001,"Etxebarria David",NA,34,NA
2001,"Etxebarria Unai",6,88,NA
2001,"Fagnini Gian Matteo",NA,NA,70
2001,"Fofonov Dmitriy",52,NA,NA
2001,"Fragniere Cédric",NA,NA,51
2001,"Frattini Cristiano",NA,NA,75
2001,"Frutti Matteo",NA,128,NA
2001,"Garate Juan Manuel",NA,NA,7
2001,"García Felix Manuel",NA,37,NA
2001,"García Marcelino",NA,122,25
2001,"Garzelli Stefano",NA,14,23
2001,"Gianetti Mauro",NA,NA,26
2001,"Giordani Leonardo",NA,NA,71
2001,"Glomser Gerrit",NA,NA,17
2001,"Gonzalez Arrieta Jose Rámon",9,NA,NA
2001,"González de Galdeano Igor",NA,5,NA
2001,"Goubert Stéphane",NA,31,NA
2001,"Gouvenou Thierry",56,131,NA
2001,"Grabsch Bert",NA,NA,84
2001,"Guerini Giuseppe",NA,39,NA
2001,"Guesdon Frédéric",NA,124,45
2001,"Guilbert Charles",30,NA,NA
2001,"Gutiérrez José Enrique",NA,25,NA
2001,"Gutiérrez José Iván",NA,64,NA
2001,"Gwiazdowski Grzegorz",49,NA,NA
2001,"Halgand Patrice",44,55,NA
2001,"Hamilton Tyler",NA,94,14
2001,"Haselbacher René",NA,NA,99
2001,"Heras Roberto",NA,15,NA
2001,"Heule Christian",NA,NA,100
2001,"Heulot Stephane",18,40,NA
2001,"Hinault Sébastien",NA,137,NA
2001,"Hincapie George",NA,71,48
2001,"Horrillo Pedro",NA,NA,87
2001,"Hunter Robert",NA,NA,57
2001,"Huser Rolf",NA,NA,59
2001,"Ivanov Serguei",NA,NA,63
2001,"Jaksche Jörg",NA,29,NA
2001,"Jalabert Laurent",NA,19,9
2001,"Jalabert Nicolas",NA,115,32
2001,"Jan Xavier",31,NA,NA
2001,"Jenner Christopher",40,139,NA
2001,"Jiménez Eladio",NA,105,NA
2001,"Julich Bobby",29,18,NA
2001,"Kasputis Arturas",47,NA,NA
2001,"Kivilev Andrei",5,4,NA
2001,"Kjaergaard Steffen",NA,101,39
2001,"Kleynen Steven",27,NA,NA
2001,"Klier Andreas",NA,NA,83
2001,"Klöden Andreas",NA,26,NA
2001,"Knaven Servais",NA,90,NA
2001,"Konecný Tomáš",NA,NA,16
2001,"Konishev Dimitri",NA,NA,24
